k,silhouette_avg
2,0.12291687666623902
3,0.0990360119320075
4,0.0722116917143239
5,0.07132977113503873
6,0.07049548438923062
7,0.051529316376946174
8,0.05435385739560491
9,0.05659910577989102
10,0.049083079537006656
11,0.046484215112522764
12,0.043050397785040447
13,0.045982641054130045
14,0.04770638109056086
15,0.051468825515158606
16,0.05076472830381005
17,0.04865341560573087
18,0.04348450271306162
19,0.04717914819851158
20,0.04674474818626774
21,0.04382910020163596
22,0.03907491587148367
23,0.04653117123983286
24,0.04249637177642682
25,0.035815463430331866
26,0.04372468113789703
27,0.04071201690045191
28,0.04168434312725968
29,0.044301471557025456
30,0.043550834821168956
31,0.04061155067450537
32,0.039471970720264246
33,0.04369420121554183
34,0.0439861609806555
35,0.043095868883498895
36,0.04282573679787296
37,0.044800842152239194
38,0.0425392313504331
39,0.04289881656992589
40,0.04508372901840819
41,0.043058498893646775
42,0.03938538335291545
43,0.043211180887211605
44,0.03827369304636843
45,0.044468152094369974
46,0.04362192005523846
47,0.042295933011575276
48,0.04326645010992977
49,0.0433013002601661
50,0.045320914046486326
51,0.042787378240144495
52,0.0427879020507628
53,0.03630099098754128
54,0.0451393912164017
55,0.043907488522805335
56,0.042559853374119154
57,0.042955934274467034
58,0.03968128870769939
59,0.043128218820555585
60,0.04065720744125405
61,0.042162450966819476
62,0.04269415339618115
63,0.044245980973958515
64,0.040511246191860716
65,0.04328925890700616
66,0.042369867301694425
67,0.03932717038914874
68,0.04438880960317696
69,0.04565082301000275
70,0.04599302965979486
71,0.04535931668001967
72,0.03806597341461774
73,0.04255184933383712
74,0.04276950602686173
75,0.0400401053599224
76,0.04102751542866013
77,0.04065579634969077
78,0.044371039044526044
79,0.04444149640323284
80,0.044557100834110505
81,0.04451314088462986
82,0.04071956598769067
83,0.041237836881536837
84,0.04499861393519456
85,0.04033193929502636
86,0.03997112979527282
87,0.040529824718300966
88,0.0442499748995289
89,0.04070353908141612
90,0.04151055851183659
91,0.040071063110909674
92,0.04004477324489816
93,0.045468338877404986
94,0.04627757904541689
95,0.045176833935163814
96,0.040786852930550385
97,0.03871066684074916
98,0.04087106740690183
99,0.047813267971686994
