method,k,silhouette_avg
single,2,0.46730255371731244
single,3,0.4180863170491446
single,4,0.33377860750372423
single,5,0.28406620719653375
single,6,0.27731565725836543
single,7,0.2689101111691613
single,8,0.26425390458697434
single,9,0.24950027537007208
single,10,0.2440483731196794
single,11,0.24307964465559526
single,12,0.23992351094350486
single,13,0.236063357225491
single,14,0.20630832198195556
single,15,0.1975327013804339
single,16,0.19360199671013226
single,17,0.1873384247844587
single,18,0.18338555040742796
single,19,0.17542306726129128
single,20,0.1604890070493125
single,21,0.1592456481651864
single,22,0.14432698813844383
single,23,0.1386635847309805
single,24,0.13078661923233773
single,25,0.1244209637686052
single,26,0.12341280158709989
single,27,0.11611958736932179
single,28,0.11212369751056878
single,29,0.10841028997966327
single,30,0.10685894935936302
single,31,0.09993543873355315
single,32,0.09710732946412304
single,33,0.09385291532143919
single,34,0.09204481924279206
single,35,0.09169229306022109
single,36,0.0874316987310946
single,37,0.06098796130458108
single,38,0.0564030053955136
single,39,0.0489505880310273
single,40,0.042244028140193624
single,41,0.04217628156681121
single,42,0.03569493916243362
single,43,0.03592494645383799
single,44,0.03259093751714447
single,45,0.032549303154438713
single,46,0.020737492967569836
single,47,0.020668943079466203
single,48,0.022006374727784918
single,49,0.02373435126482253
single,50,0.02207388364429374
single,51,0.020343479466807462
single,52,0.019072202579316456
single,53,0.007206752463141298
single,54,0.006185121347720247
single,55,-0.0007082634685258762
single,56,-0.001104578618577031
single,57,-0.00018176550670333258
single,58,-0.0011843268252801527
single,59,0.00039744418552106086
single,60,-0.004198444811135158
single,61,-0.004805172477297169
single,62,-0.0047858550710205595
single,63,-0.0044929342100626
single,64,-0.0044878733611840235
single,65,-0.010934296080607177
single,66,-0.012095178719878174
single,67,-0.012390873867080024
single,68,-0.01435486587401189
single,69,-0.014641220148068889
single,70,-0.01481337833286515
single,71,-0.017677753972712297
single,72,-0.017130586840257825
single,73,-0.016779637356809988
single,74,-0.01664376630991605
single,75,-0.016871112717213737
single,76,-0.024984817874117552
single,77,-0.025265572564467258
single,78,-0.026034062267988066
single,79,-0.025986116238193593
single,80,-0.026642718209064647
single,81,-0.03050323186724453
single,82,-0.028331819165376443
single,83,-0.027797842005337164
single,84,-0.02779945603274766
single,85,-0.029350860903741137
single,86,-0.029529767808749524
single,87,-0.032995454658363954
single,88,-0.03297775250709138
single,89,-0.03361412677440766
single,90,-0.03747162187912617
single,91,-0.03728408915804974
single,92,-0.044908121641448646
single,93,-0.04539320918883723
single,94,-0.04582281945791706
single,95,-0.045458618082700165
single,96,-0.04795282186056137
single,97,-0.0489034848965239
single,98,-0.04821808266608358
single,99,-0.05244112696868887
complete,2,0.3137791285204691
complete,3,0.2848633672746886
complete,4,0.049658813891947755
complete,5,0.031094557280154932
complete,6,0.03862354353348832
complete,7,0.03945143872709338
complete,8,0.02878323000266072
complete,9,0.027852980496837338
complete,10,0.0019243793801273818
complete,11,0.0020881445807135954
complete,12,0.006555213363205407
complete,13,0.008747363748609764
complete,14,0.009398150611317909
complete,15,0.009865916796404204
complete,16,0.02002084092429834
complete,17,0.020640449635432895
complete,18,0.0213146384947501
complete,19,0.020218598374352137
complete,20,0.019647521151306576
complete,21,0.025236552631640236
complete,22,0.023273836328579926
complete,23,0.023732223996097014
complete,24,0.025301104163675477
complete,25,0.026878767387274655
complete,26,0.02715054648441251
complete,27,0.026455334833374422
complete,28,0.027013919597897475
complete,29,0.02603868456132764
complete,30,0.02591075088249542
complete,31,0.02601130374616978
complete,32,0.027737282134431135
complete,33,0.029308984682934067
complete,34,0.029421463809600826
complete,35,0.03028591362204198
complete,36,0.030243999138542955
complete,37,0.03553885762002767
complete,38,0.03550270341617456
complete,39,0.03564752592860416
complete,40,0.03471524247314271
complete,41,0.03513623074146217
complete,42,0.034349029136666674
complete,43,0.03338539280088285
complete,44,0.03369847260062874
complete,45,0.03418930534447801
complete,46,0.033909821579148375
complete,47,0.03399625432406774
complete,48,0.03425721417316656
complete,49,0.034459622990215544
complete,50,0.034615530863118284
complete,51,0.03451489385167875
complete,52,0.03497440209809436
complete,53,0.03531756024246403
complete,54,0.03409966353466918
complete,55,0.03396980759846493
complete,56,0.035772563972372065
complete,57,0.03554134843190074
complete,58,0.035910869287760154
complete,59,0.03608238344858217
complete,60,0.03680944502113877
complete,61,0.036466791220735456
complete,62,0.0364479101080095
complete,63,0.03635964240314702
complete,64,0.03873185051574149
complete,65,0.039381527078264034
complete,66,0.04060025205816989
complete,67,0.04152170144070179
complete,68,0.04123864071769321
complete,69,0.04065316877141257
complete,70,0.04151094772011622
complete,71,0.041452525784050516
complete,72,0.042422630144589434
complete,73,0.04291756740134768
complete,74,0.04377736124843996
complete,75,0.044044409116083476
complete,76,0.04415449928242017
complete,77,0.044512435849800504
complete,78,0.04395923960886198
complete,79,0.04437456700877567
complete,80,0.044332691491551376
complete,81,0.04430125497057093
complete,82,0.04409559587271289
complete,83,0.043989124528576576
complete,84,0.04433688547859642
complete,85,0.044742301210200265
complete,86,0.04526612718297116
complete,87,0.04587858632463748
complete,88,0.04528771985615747
complete,89,0.045482091712378186
complete,90,0.045602647054789426
complete,91,0.04524457249709003
complete,92,0.045556278932388894
complete,93,0.04578485825853716
complete,94,0.04640107498766659
complete,95,0.046072037652962035
complete,96,0.045322920062067534
complete,97,0.04564762580422676
complete,98,0.04595285097605111
complete,99,0.045805763654255864
weighted,2,0.04446004855469591
weighted,3,0.043762175547038
weighted,4,0.042581067554856376
weighted,5,0.04201459376274813
weighted,6,0.042280815070661254
weighted,7,0.04316041675185969
weighted,8,0.04302988426093705
weighted,9,0.04288864238247251
weighted,10,0.04275694204350434
weighted,11,0.04274347913807432
weighted,12,0.04323590886986984
weighted,13,0.04073483786647762
weighted,14,0.0403350344253682
weighted,15,0.04000420273778503
weighted,16,0.03977566525392144
weighted,17,0.03879274534146248
weighted,18,0.036954550226151926
weighted,19,0.03675451189803164
weighted,20,0.03663411745092667
weighted,21,0.03539602699152175
weighted,22,0.02921209424104093
weighted,23,0.028984672103962883
weighted,24,0.028651135821619104
weighted,25,0.02682341836487369
weighted,26,0.026495808759009375
weighted,27,0.011849305979164176
weighted,28,0.01159421080159731
weighted,29,0.011456035302099406
weighted,30,0.004490299863252983
weighted,31,0.016227372557942887
weighted,32,0.02069629368243457
weighted,33,0.020583608777347117
weighted,34,0.020262666826863552
weighted,35,0.019835987885755257
weighted,36,0.018995283518688504
weighted,37,0.018656470955438438
weighted,38,0.01807615359255587
weighted,39,0.012661564314301751
weighted,40,0.02099730336016017
weighted,41,0.019936673660427524
weighted,42,0.019924499729580113
weighted,43,0.01961487523460978
weighted,44,0.01903002973442471
weighted,45,0.01943934782149447
weighted,46,0.009559615874530688
weighted,47,0.007360031492127627
weighted,48,0.008240924817865963
weighted,49,0.008108309568444381
weighted,50,0.007939308059400477
weighted,51,0.007054278803381665
weighted,52,0.007563994081715431
weighted,53,0.007249163480705334
weighted,54,0.00715574785681012
weighted,55,0.008123732288988014
weighted,56,0.007812352668647623
weighted,57,0.007474170562593485
weighted,58,0.006674385867257642
weighted,59,0.006388128854609042
weighted,60,0.004955906482099126
weighted,61,0.005715238399796367
weighted,62,0.024609914116424842
weighted,63,0.024453868440280024
weighted,64,0.024112430392422547
weighted,65,0.026349777399017147
weighted,66,0.025793370435619696
weighted,67,0.02640614767247208
weighted,68,0.026757864019297247
weighted,69,0.026565443467710264
weighted,70,0.026879303122897286
weighted,71,0.026636528503262296
weighted,72,0.02667457373108574
weighted,73,0.02163101530601094
weighted,74,0.022058509492563667
weighted,75,0.022059169267388178
weighted,76,0.02039556759531591
weighted,77,0.020194979652367332
weighted,78,0.028840744819412355
weighted,79,0.02856696526370996
weighted,80,0.03354791533415436
weighted,81,0.033288935932946837
weighted,82,0.03284888318356932
weighted,83,0.03311022815249171
weighted,84,0.03488563164416155
weighted,85,0.03461027328958755
weighted,86,0.0348379791899496
weighted,87,0.03518731216423756
weighted,88,0.03609621460000535
weighted,89,0.03795486965901496
weighted,90,0.03781244902903321
weighted,91,0.041163037806942214
weighted,92,0.04071543145508837
weighted,93,0.03928433060236444
weighted,94,0.040048318341948115
weighted,95,0.040084265480019816
weighted,96,0.03920511853248615
weighted,97,0.03914700144955976
weighted,98,0.03891336836936564
weighted,99,0.038649279127280695
